"","NMDS1","NMDS2","PrePost","Location","Site","Date","Achilles.tang","Agile.chromis","Amber.jack","Ambon.toby","Arc.eye.hawk.fish","Barred.filefish","Belted.wrasse","Big.eye.emperor.or.Mu","Bird.nose.wrasse","Black.kole.or.black.surgeonfish","black.spot.surgeon..Thompson.s.surgeonfish","Blackfin.chromis","Blackspot.sergeant","Blacktailed.snapper","Blue.eyed.damsel","Blue.goatfish","Bluefin.trevally","Blueline.surgeonfish","Bluelined.butterfly","Bluelined.snapper","Bluespine.unicornfish","Box.fish","Bridled.triggerfish","Bullethead.parrotfish","Chocolate.dip.chromis","Chub.or.Rudderfish","Convict.tang","Cornetfish","Crown.toby","Doublebar.goatfish","eagle.ray","Eightline.wrasse","Elegant.wrasse","Eyestripe.surgeon","Fantailed.filefish","Flame.angel","Flame.wrasse","Forcep.butterfly","forktail.snapper","Forsteri.hawkfish","four.spot.butterfly","Goldline.squirrelfish","Goldrim.surgeonfish","Gray.Chub","Hawaiian.cleaner.wrasse","Hawaiian.dascyllus","Hawaiian.hogfish","Hawaiian.sergeant.major","Kole.tang","Kuntee.Squirrelfish","Lavender.brown.tang","Lei.trigger","Lined.butterfly","Lizardfish","Manybar.goatfish","Milletseed.butterflyfish","Moorish.Idol","Multiband.butterfly","Niger.trigger","Orangeshoulder.tang","Orangespine.unicornfish","Ornate.butterfly.fish","Ornate.wrasse","Oval.butterfly","oval.damesel","Pacific.gregory","Palenose.parrofish","Picasso.or.lagoon.trigger","Pinktail.trigger","Porcupinefish","Potter.s.Angel","Raccoon.butterflyfish","Rainbow.Runner","Rectangle.or.reef.trigger","Red.goat..yellow.fin.goatfish.","Redlip.parrotfish","Regal.parrotfish","Reticulated.butterflyfish","Ringtail.surgeonfish","Ringtail.wrasse","Rockmover.wrasse","Roi.or.Peacock.grouper","round.scad","Saddle.wrasse","saddleback.butterfly","Sailfin.tang","Scrawled.filefish","Sidespot.goatfish","Sleek.unicorn.fish","Soldier.fish","Spectacled.parrotfish","Spiny.balloonfish","Spot.fin.squirrelfish","Spotted.puffer","Squirrelfish","star.eyed.parrotfish","Surge.wrasse","Teardrop.butterfly","Threadfin.butterflyfish","Three.spot.chromis","tilefish","Trumpetfish","Vanishing.wrasse","white.freckled.surgeonfish","White.tipped.reef.shark","Whitebar.surgeonfish","Whitemouth.moray","whitespot.puffer","Whitespotted.toby","Yellow.tang","yellowfin.goatfish","yellowfin.surgeon","Yellowstripe.goatfish","Yellowtail.coris","Yellowtail.Filefish"
"1",-0.631463533564431,-0.427229207021116,"Pre","Mahukona","6","2010",0,0.5,0,0,0.25,0,0,0.5,0,0,0,29.5,0,0,0,0.25,0,0,0.25,0,0,0,0,0.25,4,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,14,0,12.5,2.75,0,0,4,0,0.25,3,0.5,1,1.75,1,0.5,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,2.25,0,0,0,1.25,2.25,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,1,20.25,0,0,0.75,0,0
"2",-0.857981541052306,-0.286819357305868,"Pre","Mahukona","6","2011",0,0,0,0,0,0.25,0,0.25,1,0,0,8.75,0,0,0,0.5,0,0,0,0,0,0,0,0.5,9.75,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0.25,0,0,0,0,0.25,0,0,2,15,0,22,2,0,0,3.5,0,0.25,3,0.25,0.5,2,1.75,0,1.25,0.25,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,7.75,0,0,0.5,0,0
"3",-0.593065601607842,-0.587593097140491,"Pre","Mahukona","6","2012",0,2.25,0,0,0.75,0,0,0,0.75,0,0,32.5,0,0,0,0,0,0,0,0,0,0.25,0.25,1.25,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,11.5,0,20.25,0,0,0,4.75,0,0,3.5,0,1,1.5,2.5,0,0,0,0.75,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,4.25,2.25,0,0,0,2.25,0,0,0.25,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0.25,0,0,0,12.25,0,0,0.5,0.5,0
"4",-0.560864368235384,-0.177802533066886,"Post","Mahukona","6","2013",0,6.66666666666667,0,0,0,0,0,0,0,0,0,2.66666666666667,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,3.33333333333333,5,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.333333333333333,31.3333333333333,0,32.6666666666667,3,0,0,3.66666666666667,0,0.666666666666667,4,0.666666666666667,1.66666666666667,1.33333333333333,3.33333333333333,0.333333333333333,2.66666666666667,0.666666666666667,0.333333333333333,0,0,4,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0,0,0,3.33333333333333,0,0,0,2.66666666666667,0,0,0,0,0,0,0,0,1.66666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,9.33333333333333,0,0,28,0,0
"5",-0.745305200144096,-0.069323744682842,"Post","Mahukona","6","2014",0,0.75,0,0,0,0,1.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0.25,0.25,0,0,0,0,0,0,0.25,36,0,13.25,3.25,0,0,4.5,0.5,0,2.75,0,0.5,2.5,1.75,0.25,0.75,0,0.25,0,0,1,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,7.25,0,0,0,2.5,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0,0,0.25,0,0,0,0,0,0,0,12.5,0,0,16,0,0
"6",-0.0552853352695815,-0.361794108889868,"Post","Mahukona","6","2016",0,18.3333333333333,0,0,1.33333333333333,0,0.666666666666667,2.66666666666667,0.666666666666667,0.666666666666667,0,95.3333333333333,0,0.333333333333333,0,0,0,0,1,0,0,0,0.333333333333333,0.666666666666667,4.66666666666667,0,0.333333333333333,0,0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333333333,0,0,29.3333333333333,0,29,5.66666666666667,0,0,8,0,0,6.66666666666667,0,1.33333333333333,5,2,0.333333333333333,1.33333333333333,0,0.666666666666667,3.33333333333333,0,2,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0.666666666666667,0,0,0,2.66666666666667,2.66666666666667,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,23.6666666666667,0,0,23.3333333333333,0,0
"7",-0.696625965464098,-0.500924977759369,"Post","Mahukona","6","2017",0,9,0,0,0,0,0,2.25,0,0.25,0.25,8.75,0,0,0,1.5,0,0,0,0.5,0,0,0,0.75,10.25,0,0.75,0,0,0.25,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.25,0,19.25,0,33.25,5,0,0,2.75,0,0.25,2.5,0.5,1,0.75,2,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0.25,0,0,0,0.75,0,0.5,11.75,1.5,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,4.25,0,0,45.75,0.5,0
"8",-0.753832918424694,-0.399507845323657,"Post","Mahukona","6","2018",0,5,0,0,0.75,0,0,2.5,0.25,0.25,0,2.75,0,0,0,0.5,0,0,0.5,0,0,0.25,0,0,8,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.5,1.5,0,0,0,0,0,0,0,0.25,0.5,17.5,0,26,1.5,0,0,3.5,0,0.5,4,0.5,5.5,2.75,2.25,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,1.25,0,0,0,0,0,0.25,0,1.5,0,0.25,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,103.75,0,0
"9",-0.428153245069427,-0.403114771792916,"Post","Mahukona","6","2019",0,7.75,0,0,0.25,0.25,0,3.5,0,0,0,4.5,0,0,0.25,0,0,0,0.25,0.25,0,0,0,2.25,3.25,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,0,0.25,0,0,0,0,0,0,0,23.5,0,41,5.5,0,0,5,0,0.5,4,0.25,3,4.25,3.25,0,0.5,0,0.25,0,0,1.75,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,2.25,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0.25,0,0.75,0,0.25,0,0,0,0,0,0,25,0,0,125.75,0.25,0
"10",-1.1225401799882,-0.57122547999899,"Pre","Mahukona","7","2010",0,2,0,0,0.75,0,0,0,0.5,0,0,12.5,0,0,0,0.25,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,5,0,11.25,2.5,0,0,7,0,0,2.75,0,2.25,0.25,0.5,0.25,0.75,0,1.5,0,0,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,5.75,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,4.5,0,0,3,0,0
